=================================================================================================
                                  ALU VERIFICATION LOG FILE                                      
=================================================================================================
Test# | Operation| IN_A     | IN_B     | OUT      | Flags(VNZ)| EXP_OUT  | EXP_FLAGS| Status
80    | AND      | 0111 | 1001 | 0001 | 000   | 0001 | 000   | PASS
81    | PASS_B   | 0100 | 1000 | 1000 | 010   | 1000 | 010   | PASS
82    | PASS_B   | 1000 | 1101 | 1101 | 010   | 1101 | 010   | PASS
83    | PASS_B   | 0111 | 1110 | 1110 | 010   | 1110 | 010   | PASS
84    | PASS_B   | 1000 | 1100 | 1100 | 010   | 1100 | 010   | PASS
85    | PASS_B   | 1101 | 1001 | 1001 | 010   | 1001 | 010   | PASS
86    | PASS_B   | 1100 | 0110 | 0110 | 000   | 0110 | 000   | PASS
87    | PASS_B   | 1010 | 1101 | 1101 | 010   | 1101 | 010   | PASS
88    | PASS_B   | 0110 | 0000 | 0000 | 001   | 0000 | 001   | PASS
89    | PASS_B   | 0011 | 1010 | 1010 | 010   | 1010 | 010   | PASS
90    | PASS_B   | 1110 | 1010 | 1010 | 010   | 1010 | 010   | PASS
91    | SLTU     | 0011 | 0010 | 0000 | 001   | 0000 | 001   | PASS
92    | SLTU     | 1010 | 1101 | 0001 | 000   | 0001 | 000   | PASS
93    | SLTU     | 1000 | 1010 | 0001 | 000   | 0001 | 000   | PASS
94    | SLTU     | 0000 | 1100 | 0001 | 000   | 0001 | 000   | PASS
95    | SLTU     | 0010 | 1100 | 0001 | 000   | 0001 | 000   | PASS
96    | SLTU     | 1110 | 1101 | 0000 | 001   | 0000 | 001   | PASS
97    | SLTU     | 1000 | 1001 | 0001 | 000   | 0001 | 000   | PASS
98    | SLTU     | 0001 | 0011 | 0001 | 000   | 0001 | 000   | PASS
99    | SLTU     | 0010 | 0000 | 0000 | 001   | 0000 | 001   | PASS
100   | SLTU     | 0010 | 0011 | 0001 | 000   | 0001 | 000   | PASS
101   | SRL      | 1100 | 0100 | 1100 | 010   | 1100 | 010   | PASS
102   | SRL      | 1110 | 1111 | 0001 | 000   | 0001 | 000   | PASS
103   | SRL      | 1010 | 0100 | 1010 | 010   | 1010 | 010   | PASS
104   | SRL      | 0010 | 0001 | 0001 | 000   | 0001 | 000   | PASS
105   | SRL      | 0011 | 1000 | 0011 | 000   | 0011 | 000   | PASS
106   | SRL      | 1110 | 1110 | 0011 | 000   | 0011 | 000   | PASS
107   | SRL      | 1001 | 0101 | 0100 | 000   | 0100 | 000   | PASS
108   | SRL      | 0010 | 1000 | 0010 | 000   | 0010 | 000   | PASS
109   | SRL      | 0100 | 1010 | 0001 | 000   | 0001 | 000   | PASS
110   | SRL      | 0001 | 1111 | 0000 | 001   | 0000 | 001   | PASS
111   | UNKNOWN/INVALID | 0101 | 1010 | 0000 | 001   | 0000 | 001   | PASS
112   | ADD      | 0111 | 0110 | 1101 | 110   | 1101 | 110   | PASS
113   | UNKNOWN/INVALID | 0110 | 0110 | 0000 | 001   | 0000 | 001   | PASS
114   | XOR      | 1100 | 0110 | 1010 | 010   | 1010 | 010   | PASS
115   | PASS_B   | 1110 | 1011 | 1011 | 010   | 1011 | 010   | PASS
116   | SUB      | 1001 | 1010 | 1111 | 010   | 1111 | 010   | PASS
117   | SLTU     | 0111 | 0001 | 0000 | 001   | 0000 | 001   | PASS
118   | UNKNOWN/INVALID | 0000 | 0101 | 0000 | 001   | 0000 | 001   | PASS
119   | UNKNOWN/INVALID | 1001 | 0001 | 0000 | 001   | 0000 | 001   | PASS
120   | UNKNOWN/INVALID | 1000 | 1011 | 0000 | 001   | 0000 | 001   | PASS
-------------------------------------------------------------------------------------------------
TOTAL TESTS: 120 | TOTAL ERRORS: 0
